epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,290.031,1.81814,1.759,1.31617,0.53407,0.37546,0.41294,0.2066,1.76206,1.99614,1.4558,0.0679503,0.000991228,0.000991228
2,583.689,1.80077,1.40675,1.33728,0.72342,0.62821,0.69242,0.33163,1.71691,2.1608,1.49592,0.0356139,0.00198819,0.00198819
3,849.027,1.8002,1.44175,1.38168,0.71412,0.70879,0.74563,0.34855,1.74913,1.62722,1.46245,0.0032654,0.002973,0.002973
4,1082.62,1.72725,1.3355,1.35146,0.73667,0.71612,0.72203,0.39107,1.57757,1.41466,1.39337,0.00295897,0.00295897,0.00295897
5,1312.06,1.68324,1.27662,1.33842,0.84162,0.65205,0.78316,0.39301,1.56437,1.2769,1.37199,0.00292732,0.00292732,0.00292732
6,1539.09,1.69589,1.2632,1.32303,0.84056,0.74349,0.82523,0.41218,1.71264,1.13494,1.45579,0.00288696,0.00288696,0.00288696
7,1759.87,1.64545,1.1912,1.30376,0.80592,0.75458,0.82245,0.40539,1.65846,1.15756,1.38682,0.00283814,0.00283814,0.00283814
8,1983.04,1.61303,1.14732,1.26358,0.82199,0.71978,0.81725,0.46224,1.3904,1.3809,1.28134,0.00278117,0.00278117,0.00278117
9,2205.99,1.54353,1.11367,1.24496,0.85842,0.78844,0.87066,0.47808,1.46389,1.05591,1.28113,0.00271639,0.00271639,0.00271639
10,2430.74,1.61037,1.13666,1.27075,0.80738,0.74725,0.83463,0.42686,1.54708,1.13199,1.36387,0.0026442,0.0026442,0.0026442
11,2652.58,1.56521,1.08981,1.26803,0.88391,0.73912,0.83927,0.4199,1.54975,1.11274,1.35499,0.00256505,0.00256505,0.00256505
12,2874.77,1.52516,1.08327,1.23495,0.85731,0.77029,0.85918,0.45352,1.49578,1.07002,1.25514,0.00247943,0.00247943,0.00247943
13,3097.63,1.48745,1.02379,1.19251,0.88195,0.81868,0.90362,0.52168,1.38608,0.9085,1.23854,0.00238786,0.00238786,0.00238786
14,3319.03,1.50997,1.04871,1.21422,0.86675,0.8022,0.89078,0.51408,1.4088,0.97102,1.21745,0.00229091,0.00229091,0.00229091
15,3542.68,1.5041,1.03347,1.22828,0.91066,0.80276,0.92051,0.53732,1.36817,0.90717,1.24055,0.00218918,0.00218918,0.00218918
16,3766.47,1.46575,0.99564,1.18571,0.88231,0.83756,0.92242,0.54347,1.35928,0.85137,1.22268,0.00208328,0.00208328,0.00208328
17,3990.17,1.45224,0.94,1.17213,0.86502,0.78205,0.86641,0.43845,1.5889,0.99483,1.31473,0.00197389,0.00197389,0.00197389
18,4213.11,1.43979,0.96002,1.17633,0.90296,0.85531,0.93904,0.57197,1.25725,0.82775,1.17344,0.00186167,0.00186167,0.00186167
19,4434.29,1.43504,0.95206,1.18605,0.89048,0.84882,0.91835,0.55467,1.27306,0.83985,1.19381,0.00174731,0.00174731,0.00174731
20,4657.8,1.41378,0.94081,1.16842,0.9067,0.86813,0.93759,0.57094,1.25349,0.80983,1.16495,0.00163151,0.00163151,0.00163151
